Source,Translation,Context
# ---- Demand ----
Demand,Nhu cầu,
Demand Forecast,Dự báo nhu cầu,
Forecasted Qty,Số lượng dự báo,
Actual Demand,Nhu cầu thực tế,
Demand Variance,Chênh lệch nhu cầu,
Supply,Cung,
Supply Chain,Chuỗi cung ứng,
Supply Plan,Kế hoạch cung ứng,
# ---- Additional ----
Item to Manufacture,Mặt hàng cần sản xuất,
Manufacturing Hour Rate,Đơn giá giờ SX,
Production Unit,Đơn vị sản xuất,
Production Line,Dây chuyền sản xuất,
Line Number,Số dây chuyền,
Batch Size in BOM,Kích thước lô trong ĐMNVL,
Cost Per Unit,Chi phí trên đơn vị,
# ======================================================================
# BATCH 4: HR & Payroll Deep
# ======================================================================
Employee Number,Mã nhân viên,
Employee Code,Mã nhân viên,
Employee Full Name,Họ tên nhân viên,
Father Name,Tên cha,
Mother Name,Tên mẹ,
Spouse Name,Tên vợ/chồng,
Husband Name,Tên chồng,
Wife Name,Tên vợ,
Number of Children,Số con,
Family Members,Thành viên gia đình,
Dependents,Người phụ thuộc,
Dependent Name,Tên người phụ thuộc,
Dependent Relationship,Mối quan hệ NPT,
Spouse,Vợ/Chồng,
Child,Con,
Parent,Bố/Mẹ,
Father,Bố,
Mother,Mẹ,
Sibling,Anh/Chị/Em,
Relative,Người thân,
Employee Birthday,Sinh nhật NV,
Birthplace,Nơi sinh,
Resident Address,Địa chỉ thường trú,
Temporary Address,Địa chỉ tạm trú,
National ID,Số CCCD,
Citizen ID,Số căn cước,
Passport Number,Số hộ chiếu,
Passport Expiry,Hết hạn hộ chiếu,
Passport Issue Date,Ngày cấp hộ chiếu,
Driver License Number,Số bằng lái xe,
Tax Identification,Mã số thuế cá nhân,
Social Security Number,Số BHXH,
BHXH Number,Số BHXH,
BHYT Number,Số BHYT,
Insurance Card,Thẻ bảo hiểm,
Insurance Card Number,Số thẻ BH,
Religion,Tôn giáo,
Ethnicity,Dân tộc,
# ---- Employee activities ----
Employee Transfer,Điều chuyển nhân viên,
Employee Promotion,Thăng chức nhân viên,
Employee Termination,Chấm dứt HĐLĐ,
Employee Resignation,Đơn xin nghỉ việc,
Resignation Letter,Đơn xin nghỉ việc,
Resignation Date,Ngày viết đơn,
Last Working Day,Ngày làm việc cuối,
Notice Period,Thời gian báo trước,
Notice Period Days,Số ngày báo trước,
Exit Survey,Khảo sát thôi việc,
Final Settlement,Thanh quyết toán cuối,
Pending Settlements,Thanh quyết toán còn,
# ---- Payroll detail ----
Payroll Number,Số bảng lương,
Payroll Date,Ngày bảng lương,
Payroll Period Start,Bắt đầu kỳ lương,
Payroll Period End,Kết thúc kỳ lương,
Pay Period,Kỳ lương,
Pay Date,Ngày trả lương,
Pay Day,Ngày trả,
Salary Day,Ngày lương,
Salary Month,Tháng lương,
Base Pay,Lương cơ bản,
Basic Pay,Lương cơ bản,
Gross Salary,Tổng lương,
Net Salary,Lương thực lĩnh,
Take Home,Thực nhận,
Take Home Pay,Thực nhận,
CTC,Tổng chi phí lao động,
Cost to Company,Tổng chi phí lao động,
Salary Increase,Tăng lương,
Salary Decrease,Giảm lương,
Salary Change Reason,Lý do thay đổi lương,
Effective Salary,Lương hiệu lực,
Previous Salary,Lương cũ,
Current Salary,Lương hiện tại,
Salary Revision,Điều chỉnh lương,
# ---- Salary structure ----
Structure Name,Tên cơ cấu,
Structure Type,Loại cơ cấu,
Salary Slab,Bậc lương,
Pay Grade,Bậc lương,
Grade Level,Cấp bậc,
Grade Name,Tên bậc,
Grade Minimum,Mức lương tối thiểu bậc,
Grade Maximum,Mức lương tối đa bậc,
Pay Scale,Thang lương,
# ---- Deductions ----
Loan Deduction,Khấu trừ vay,
Advance Deduction,Khấu trừ tạm ứng,
Tax Deduction,Khấu trừ thuế,
Insurance Deduction,Khấu trừ bảo hiểm,
Union Deduction,Khấu trừ công đoàn,
Penalty,Phạt,
Penalty Deduction,Khấu trừ phạt,
Fine,Tiền phạt,
Uniform Deduction,Khấu trừ đồng phục,
Meal Deduction,Khấu trừ tiền ăn,
Transport Deduction,Khấu trừ xe,
Other Deductions,Khấu trừ khác,
# ---- Earnings ----
Basic Allowance,Phụ cấp cơ bản,
Transport Allowance,Phụ cấp đi lại,
Meal Allowance,Phụ cấp ăn,
Phone Allowance,Phụ cấp điện thoại,
Housing Allowance,Phụ cấp nhà ở,
Medical Allowance,Phụ cấp y tế,
Special Allowance,Phụ cấp đặc biệt,
Position Allowance,Phụ cấp chức vụ,
Responsibility Allowance,Phụ cấp trách nhiệm,
Professional Allowance,Phụ cấp nghiệp vụ,
Seniority Allowance,Phụ cấp thâm niên,
Hardship Allowance,Phụ cấp khó khăn,
Remote Work Allowance,Phụ cấp làm việc từ xa,
Commission,Hoa hồng,
Commission Amount,Số tiền hoa hồng,
Incentive Amount,Số tiền khuyến khích,
Performance Bonus,Thưởng hiệu suất,
Annual Bonus,Thưởng cuối năm,
Project Bonus,Thưởng dự án,
Tet Bonus,Thưởng Tết,
13th Month Salary,Lương tháng 13,
14th Month Salary,Lương tháng 14,
Additional Salary,Lương bổ sung,
Overtime Pay,Lương tăng ca,
Weekend Pay,Lương cuối tuần,
Holiday Pay,Lương ngày nghỉ lễ,
Night Shift Allowance,Phụ cấp ca đêm,
Hazard Allowance,Phụ cấp độc hại,
Field Allowance,Phụ cấp công trường,
Travel Allowance,Phụ cấp công tác,
Per Diem,Phụ cấp công tác phí,
# ---- Attendance detail ----
Attendance Date,Ngày chấm công,
Check In Time,Giờ vào,
Check Out Time,Giờ ra,
Working Hours Today,Giờ làm việc hôm nay,
Break Duration,Thời gian nghỉ,
Late Minutes,Số phút muộn,
Early Leave Minutes,Số phút về sớm,
Absent Hours,Số giờ vắng mặt,
Present Hours,Số giờ có mặt,
Leave Hours,Số giờ nghỉ phép,
Overtime Today,Tăng ca hôm nay,
Night Hours,Số giờ ca đêm,
Day Hours,Số giờ ca ngày,
Shift Start,Bắt đầu ca,
Shift End,Kết thúc ca,
Shift Duration,Thời lượng ca,
Actual Shift,Ca thực tế,
Scheduled Shift,Ca lịch,
Break Schedule,Lịch nghỉ giữa ca,
Lunch Break,Nghỉ trưa,
Tea Break,Nghỉ trà,
# ---- Leave detail ----
Leave Reason,Lý do nghỉ,
Leave Request Status,Trạng thái đơn xin nghỉ,
Approver,Người phê duyệt,
Leave Approver,Người phê duyệt nghỉ,
Backup Approver,Người phê duyệt dự phòng,
Leave Days,Số ngày nghỉ,
From Date Leave,Nghỉ từ ngày,
To Date Leave,Nghỉ đến ngày,
Leave From Time,Nghỉ từ giờ,
Leave To Time,Nghỉ đến giờ,
Half Day Leave,Nghỉ nửa ngày,
First Half,Nửa đầu,
Second Half,Nửa sau,
Full Day Leave,Nghỉ cả ngày,
Leave Note,Ghi chú nghỉ,
Leave Certificate,Giấy chứng nhận nghỉ,
Medical Certificate,Giấy khám sức khỏe,
Leave Allocated,Phép đã cấp,
Leave Taken,Phép đã dùng,
Carry Forward Leaves,Phép chuyển sang kỳ sau,
Allocated Leaves,Phép đã cấp,
# ---- Leave types ----
Annual Leave Type,Nghỉ phép năm,
Sick Leave Type,Nghỉ ốm,
Casual Leave Type,Nghỉ việc riêng,
Maternity Leave Type,Nghỉ thai sản,
Paternity Leave Type,Nghỉ chăm con,
Marriage Leave,Nghỉ cưới,
Bereavement Leave,Nghỉ tang,
Study Leave,Nghỉ học tập,
Sabbatical Leave,Nghỉ phép dài,
Compensatory Leave,Nghỉ bù,
Unpaid Leave Type,Nghỉ không lương,
Earned Leave,Phép phát sinh,
# ---- Expense claim ----
Expense Claim Number,Số đề nghị TT,
Expense Claim Date,Ngày đề nghị TT,
Expense Claim Type,Loại đề nghị TT,
Expense Category,Danh mục chi phí,
Expense Description,Mô tả chi phí,
Amount Claimed,Số tiền đề nghị,
Amount Approved,Số tiền được duyệt,
Amount Reimbursed,Số tiền hoàn,
Reimbursement Status,Trạng thái hoàn tiền,
Reimbursement Date,Ngày hoàn tiền,
Expense Approver,Người duyệt chi phí,
Policy Compliance,Tuân thủ quy định,
Within Policy,Trong quy định,
Exceed Policy,Vượt quy định,
Claim Status,Trạng thái đề nghị,
Claim Amount,Số tiền đề nghị,
Travel Expense,Chi phí công tác,
Meal Expense,Chi phí ăn uống,
Transport Expense,Chi phí đi lại,
Hotel Expense,Chi phí khách sạn,
Entertainment Expense,Chi phí tiếp khách,
Office Supplies,Văn phòng phẩm,
Communication Expense,Chi phí liên lạc,
Training Expense,Chi phí đào tạo,
# ---- Appraisal ----
Appraisal Cycle,Chu kỳ đánh giá,
Appraisal Period,Kỳ đánh giá,
Appraisal Date,Ngày đánh giá,
Appraisal Type,Loại đánh giá,
Annual Appraisal,Đánh giá hàng năm,
Semi Annual,Nửa năm,
Quarterly Appraisal,Đánh giá hàng quý,
Monthly Appraisal,Đánh giá hàng tháng,
Self Appraisal,Tự đánh giá,
Peer Review,Đánh giá đồng nghiệp,
Manager Review,Đánh giá quản lý,
360 Review,Đánh giá 360,
Appraisal Score,Điểm đánh giá,
Total Score,Tổng điểm,
Max Score,Điểm tối đa,
Appraisal Goals,Mục tiêu đánh giá,
Strengths,Điểm mạnh,
Weaknesses,Điểm yếu,
Development Areas,Lĩnh vực phát triển,
Career Path,Lộ trình nghề nghiệp,
Growth Plan,Kế hoạch phát triển,
Development Plan,Kế hoạch phát triển,
# ---- Training ----
Training Program,Chương trình đào tạo,
Training Name,Tên đào tạo,
Training Type,Loại đào tạo,
Training Date,Ngày đào tạo,
Training Duration,Thời lượng đào tạo,
Training Location,Địa điểm đào tạo,
Trainer,Giảng viên,
Trainee,Học viên,
Training Feedback Form,Phiếu phản hồi đào tạo,
Training Result,Kết quả đào tạo,
Training Certificate,Chứng chỉ đào tạo,
Certification Date,Ngày cấp chứng chỉ,
Certification Expiry,Hết hạn chứng chỉ,
Pass Score,Điểm đạt,
Fail Score,Điểm không đạt,
Passed,Đạt,
Internal Training,Đào tạo nội bộ,
External Training,Đào tạo bên ngoài,
Online Training,Đào tạo trực tuyến,
Classroom Training,Đào tạo tập trung,
On Job Training,Đào tạo tại chỗ,
# ---- Recruitment ----
Position Name,Tên vị trí,
Open Positions,Vị trí đang tuyển,
Number of Openings,Số lượng tuyển,
Staffing Plan,Kế hoạch nhân sự,
Expected Hiring Date,Ngày tuyển dự kiến,
Job Application,Đơn ứng tuyển,
Applicant Name,Tên ứng viên,
Applicant Email,Email ứng viên,
Applicant Phone,SĐT ứng viên,
Resume,Sơ yếu lý lịch,
CV,Sơ yếu lý lịch,
Cover Letter,Thư giới thiệu,
Application Status,Trạng thái đơn,
Applied,Đã nộp,
Screening,Sàng lọc,
Interview Scheduled,Đã lên lịch phỏng vấn,
Interview Completed,Đã phỏng vấn,
Offer Extended,Đã gửi thư mời,
Offer Accepted,Đã nhận lời mời,
Offer Declined,Đã từ chối lời mời,
Hired,Đã tuyển,
Interview,Phỏng vấn,
Interview Date,Ngày phỏng vấn,
Interview Round,Vòng phỏng vấn,
Interview Type,Loại phỏng vấn,
Phone Interview,Phỏng vấn điện thoại,
Video Interview,Phỏng vấn video,
Onsite Interview,Phỏng vấn tại công ty,
Technical Interview,Phỏng vấn kỹ thuật,
HR Interview,Phỏng vấn nhân sự,
Final Interview,Phỏng vấn cuối,
Interviewer,Người phỏng vấn,
Interview Feedback,Phản hồi phỏng vấn,
Interview Score,Điểm phỏng vấn,
Interview Result,Kết quả phỏng vấn,
Offer Letter,Thư mời làm việc,
Offer Date,Ngày thư mời,
Proposed Salary,Lương đề xuất,
Negotiated Salary,Lương thương lượng,
Joining Date,Ngày nhận việc,
Joining Bonus,Thưởng nhận việc,
# ---- Appointment ----
Appointment Type,Loại bổ nhiệm,
Appointment Date,Ngày bổ nhiệm,
Onboarding Template,Mẫu nhập công ty,
Onboarding Step,Bước nhập công ty,
Onboarding Complete,Hoàn tất nhập công ty,
Welcome Kit,Bộ quà chào mừng,
Orientation,Định hướng,
First Day,Ngày đầu tiên,
Probation Start,Bắt đầu thử việc,
Probation End Date,Ngày kết thúc thử việc,
Confirmation Date,Ngày ký chính thức,
Regularization,Chính thức hóa,
# ---- HR policies ----
HR Policy,Chính sách nhân sự,
Company Policy,Chính sách công ty,
Code of Conduct,Quy tắc ứng xử,
Employee Handbook,Sổ tay nhân viên,
Terms of Employment,Điều khoản lao động,
Confidentiality Agreement,Thỏa thuận bảo mật,
Non Disclosure,Không tiết lộ,
NDA,Thỏa thuận bảo mật,
Non Compete,Không cạnh tranh,
IP Assignment,Chuyển nhượng SHTT,
# ---- Health & safety ----
Workplace Safety,An toàn nơi làm việc,
Health and Safety,Sức khỏe và an toàn,
Safety Training,Đào tạo an toàn,
First Aid,Sơ cứu,
Emergency Contact Name,Tên liên hệ khẩn cấp,
Emergency Phone,SĐT khẩn cấp,
Emergency Relationship,Mối quan hệ khẩn cấp,
Health Check,Khám sức khỏe,
Annual Health Check,Khám sức khỏe định kỳ,
Medical History,Tiền sử bệnh,
Allergy,Dị ứng,
Disability,Khuyết tật,
# ---- Benefit ----
Benefit Application,Đơn đăng ký phúc lợi,
Benefit Claim,Yêu cầu phúc lợi,
Benefit Type,Loại phúc lợi,
Benefit Amount,Số tiền phúc lợi,
Medical Insurance,Bảo hiểm y tế,
Life Insurance,Bảo hiểm nhân thọ,
Dental Insurance,Bảo hiểm nha khoa,
Vision Insurance,Bảo hiểm mắt,
Retirement Plan,Kế hoạch hưu trí,
Pension,Lương hưu,
Gratuity,Tiền thưởng thôi việc,
Provident Fund,Quỹ dự phòng,
PF,Quỹ dự phòng,
Stock Options,Quyền chọn cổ phiếu,
ESOP,Quyền chọn cổ phiếu NV,
Company Car,Xe công ty,
Company Phone,Điện thoại công ty,
Company Laptop,Laptop công ty,
# ---- Scheduling ----
Work Schedule,Lịch làm việc,
Shift Roster,Bảng phân ca,
Roster Type,Loại bảng phân ca,
Day Off,Ngày nghỉ,
Rest Day,Ngày nghỉ,
Working Day,Ngày làm việc,
Half Working Day,Nửa ngày làm việc,
Compensatory Off,Nghỉ bù,
Shift Swap,Đổi ca,
Shift Request,Yêu cầu ca,
# ======================================================================
# BATCH 5: Projects + Healthcare + Education
# ======================================================================
Project Code,Mã dự án,
Project Start Date,Ngày bắt đầu dự án,
Project End Date,Ngày kết thúc dự án,
Project Duration,Thời lượng dự án,
Project Priority,Độ ưu tiên dự án,
Project Team,Đội dự án,
Project Members,Thành viên dự án,
Project Stakeholder,Bên liên quan,
Stakeholders,Các bên liên quan,
Project Expense,Chi phí dự án,
Project Revenue,Doanh thu dự án,
Project Cost,Chi phí dự án,
Project Margin,Biên lợi nhuận dự án,
Project Profit,Lợi nhuận dự án,
Planned Budget,Ngân sách kế hoạch,
Actual Budget,Ngân sách thực tế,
Budget Variance,Chênh lệch ngân sách,
Project Template Name,Tên mẫu dự án,
Template Task,Công việc mẫu,
From Template,Từ mẫu,
Project Proposal,Đề xuất dự án,
Project Charter,Điều lệ dự án,
Project Scope,Phạm vi dự án,
Project Objective,Mục tiêu dự án,
Deliverable,Kết quả chuyển giao,
Deliverables,Kết quả chuyển giao,
Milestone Date,Ngày cột mốc,
Milestone Status,Trạng thái cột mốc,
Achieved Milestone,Cột mốc đã đạt,
Pending Milestone,Cột mốc còn lại,
Phase,Giai đoạn,
Phases,Các giai đoạn,
Current Phase,Giai đoạn hiện tại,
Next Phase,Giai đoạn tiếp theo,
Planning Phase,Giai đoạn lập kế hoạch,
Execution Phase,Giai đoạn thực thi,
Monitoring Phase,Giai đoạn giám sát,
Closing Phase,Giai đoạn kết thúc,
Sprint,Sprint,
Sprint Name,Tên Sprint,
Sprint Planning,Lập kế hoạch Sprint,
Sprint Review,Đánh giá Sprint,
Sprint Retrospective,Nhìn lại Sprint,
Backlog,Backlog,
Product Backlog,Product Backlog,
Sprint Backlog,Sprint Backlog,
User Story,User Story,
Story Points,Điểm Story,
Epic,Epic,
# ---- Task detail ----
Task Status Open,Công việc mở,
Task Status Overdue,Công việc quá hạn,
Task Status Completed,Công việc hoàn thành,
Task Status Cancelled,Công việc hủy,
Task Start Date,Ngày bắt đầu CV,
Task End Date,Ngày kết thúc CV,
Task Duration,Thời lượng CV,
Task Color,Màu CV,
Expected Time,Thời gian dự kiến,
Actual Time,Thời gian thực tế,
Time Tracking,Theo dõi thời gian,
Billable,Tính phí,
Non Billable,Không tính phí,
Billable Hours,Giờ tính phí,
Non Billable Hours,Giờ không tính phí,
Billable Amount,Số tiền tính phí,
Hourly Billing Rate,Đơn giá giờ,
Project Billing,Lập hóa đơn dự án,
Activity Type Development,Phát triển,
Activity Type Design,Thiết kế,
Activity Type Research,Nghiên cứu,
Activity Type Testing,Kiểm thử,
Activity Type Documentation,Tài liệu,
Activity Type Meeting,Họp,
Activity Type Support,Hỗ trợ,
Activity Type Consulting,Tư vấn,
Activity Type Training,Đào tạo,
# ---- Timesheet ----
Timesheet Number,Số bảng chấm công,
Timesheet Date,Ngày bảng chấm công,
Week Starting,Bắt đầu tuần,
Timesheet Status Draft,Bảng chấm công nháp,
Timesheet Status Submitted,Bảng chấm công đã nộp,
Timesheet Approved,Bảng chấm công đã duyệt,
Timesheet Invoice,Hóa đơn bảng chấm công,
Total Billable Hours,Tổng giờ tính phí,
Total Billable Amount,Tổng tiền tính phí,
Total Costing Amount,Tổng chi phí,
Timesheet Detail,Chi tiết bảng chấm công,
Task Description,Mô tả CV,
Project Name ref,Tên dự án,
# ---- Healthcare ----
Patient,Bệnh nhân,
Patient Name,Tên bệnh nhân,
Patient ID,Mã bệnh nhân,
Patient Record,Hồ sơ bệnh nhân,
Patient History,Tiền sử bệnh nhân,
Patient Appointment,Lịch hẹn bệnh nhân,
Appointment Time,Giờ hẹn,
Appointment Status,Trạng thái lịch hẹn,
Booked,Đã đặt,
Confirmed,Đã xác nhận,
Arrived,Đã đến,
In Consultation,Đang khám,
Appointment Completed,Đã khám xong,
Missed,Bỏ lỡ,
No Show,Không đến,
Doctor,Bác sĩ,
Doctor Name,Tên bác sĩ,
Physician,Bác sĩ,
Consultant,Bác sĩ chuyên khoa,
Practitioner,Người hành nghề,
Healthcare Practitioner,Nhân viên y tế,
Specialty,Chuyên khoa,
Medical Department,Khoa y tế,
Department Hospital,Khoa,
Nurse,Y tá,
Medical Record,Hồ sơ bệnh án,
Clinical Procedure,Thủ thuật lâm sàng,
Lab Test,Xét nghiệm,
Lab Result,Kết quả XN,
Lab Reference,Tham chiếu XN,
Sample Collection,Lấy mẫu,
Sample ID,Mã mẫu,
Test Name,Tên xét nghiệm,
Test Normal,Bình thường,
Test Abnormal,Bất thường,
Test Units,Đơn vị XN,
Test Reference Range,Khoảng tham chiếu,
Diagnosis,Chẩn đoán,
Chief Complaint,Triệu chứng chính,
Symptoms,Triệu chứng,
Vital Signs,Dấu hiệu sinh tồn,
Blood Pressure,Huyết áp,
Heart Rate,Nhịp tim,
Temperature,Nhiệt độ,
Respiration Rate,Nhịp thở,
Oxygen Saturation,Độ bão hòa oxy,
Prescription,Đơn thuốc,
Drug,Thuốc,
Drug Name,Tên thuốc,
Drug Code,Mã thuốc,
Drug Route,Đường dùng,
Drug Dosage,Liều dùng,
Drug Frequency,Tần suất,
Drug Duration,Thời gian dùng,
Drug Instructions,Hướng dẫn dùng,
Medication,Thuốc,
Medical Code,Mã bệnh,
ICD Code,Mã ICD,
Disease,Bệnh,
Disease Name,Tên bệnh,
Allergies,Dị ứng,
Clinical Note,Ghi chú lâm sàng,
Patient Encounter,Lần khám,
Encounter Date,Ngày khám,
Encounter Type,Loại khám,
New Patient,Bệnh nhân mới,
Follow Up,Tái khám,
Emergency Visit,Khám cấp cứu,
Inpatient,Nội trú,
Outpatient,Ngoại trú,
Admission,Nhập viện,
Discharge,Xuất viện,
Admission Date,Ngày nhập viện,
Discharge Date,Ngày xuất viện,
Hospital Bed,Giường bệnh,
Room,Phòng,
Bed Number,Số giường,
Insurance Provider,Nhà cung cấp BH,
Insurance Policy,Chính sách BH,
Policy Number,Số thẻ BH,
Coverage Amount,Số tiền bảo hiểm,
Premium,Phí bảo hiểm,
Deductible Amount,Số tiền khấu trừ,
Co Pay,Đồng chi trả,
Claim Number,Số yêu cầu BT,
# ---- Education ----
Student,Học sinh,
Students,Học sinh,
Student Name,Tên học sinh,
Student ID,Mã học sinh,
Student Number,Số thẻ học sinh,
Student Batch,Khóa học,
Student Category,Danh mục học sinh,
Student Group,Nhóm học sinh,
Guardian,Phụ huynh,
Student Applicant,Ứng viên học sinh,
Admission Number,Số nhập học,
Admission Form,Phiếu nhập học,
Student Admission,Tuyển sinh,
Academic Year,Năm học,
Academic Term,Học kỳ,
Semester,Học kỳ,
Year Level,Khối lớp,
Grade Level Student,Khối lớp,
Class,Lớp,
Class Section,Phân lớp,
Class Schedule,Lịch lớp,
Course Code,Mã môn,
Course Name,Tên môn,
Course Schedule,Lịch môn,
Topic,Chủ đề,
Lesson,Bài học,
Lesson Plan,Giáo án,
Instructor,Giảng viên,
Instructor Name,Tên giảng viên,
Teacher,Giáo viên,
Teacher Name,Tên giáo viên,
Subject,Môn học,
Subject Code,Mã môn học,
Subject Name,Tên môn học,
Exam,Thi,
Exam Name,Tên kỳ thi,
Exam Date,Ngày thi,
Exam Schedule,Lịch thi,
Exam Duration,Thời lượng thi,
Exam Type,Loại kỳ thi,
Exam Result,Kết quả thi,
Marks Obtained,Điểm đạt,
Maximum Marks,Điểm tối đa,
Grade,Xếp loại,
Excellent,Xuất sắc,
Below Average,Dưới trung bình,
Poor,Yếu,
Attendance Percentage,Tỷ lệ có mặt,
Student Attendance,Điểm danh học sinh,
Leave Application Student,Đơn xin nghỉ của HS,
Assignment,Bài tập,
Assignment Name,Tên bài tập,
Assignment Submission,Nộp bài tập,
Submission Date,Ngày nộp,
Due Date Assignment,Hạn nộp,
Graded,Đã chấm,
Ungraded,Chưa chấm,
Quiz,Bài kiểm tra nhỏ,
Assessment,Đánh giá,
Assessment Plan,Kế hoạch đánh giá,
Assessment Group,Nhóm đánh giá,
Assessment Criteria,Tiêu chí đánh giá,
Fee Structure,Cơ cấu phí,
Fee Category,Danh mục phí,
Fee Component,Thành phần phí,
Tuition Fee,Học phí,
Registration Fee,Phí đăng ký,
Examination Fee,Phí thi,
Transportation Fee,Phí xe đưa đón,
Meal Fee,Phí ăn,
Uniform Fee,Phí đồng phục,
Book Fee,Phí sách,
Activity Fee,Phí hoạt động,
Fee Paid,Phí đã đóng,
Fee Due,Phí còn phải đóng,
Fee Total,Tổng phí,
Fee Schedule,Lịch đóng phí,
Fee Receipt,Biên lai phí,
Scholarship,Học bổng,
Discount Amount Student,Số tiền giảm,
Program,Chương trình,
Program Name,Tên chương trình,
Degree,Bằng cấp,
Degree Type,Loại bằng cấp,
Certification Program,Chương trình cấp chứng chỉ,
Report Card,Phiếu liên lạc,
Transcript,Bảng điểm,
Graduation,Tốt nghiệp,
Graduation Date,Ngày tốt nghiệp,
GPA,Điểm trung bình,
CGPA,Điểm trung bình tích lũy,
# ---- Additional ----
Dropped,Đã bỏ,
Enrolled,Đã đăng ký,
Withdrawn,Đã rút,
Completed Course,Đã hoàn thành môn,
# ======================================================================
# BATCH 6: Assets + Maintenance + Website
# ======================================================================
Asset Number,Số tài sản,
Asset Category Name,Tên danh mục tài sản,
Asset Class,Lớp tài sản,
Asset Subcategory,Danh mục phụ tài sản,
Asset Location,Vị trí tài sản,
Asset Manufacturer,Nhà sản xuất TS,
Model Number,Số model,
Serial Number Asset,Số seri,
Asset Status Submitted,Tài sản đã nộp,
Asset Status In Location,Tài sản tại vị trí,
Asset Status Out of Order,Tài sản hỏng,
Asset Status Issue,Tài sản cấp phát,
Asset Status Receipt,Tài sản đã nhận,
Asset Status In Use,Tài sản đang sử dụng,
Asset Status Fully Depreciated,Tài sản đã khấu hao hết,
Asset Status Scrapped,Tài sản đã loại bỏ,
Asset Status Sold,Tài sản đã bán,
Asset Value,Giá trị tài sản,
Acquisition Cost,Chi phí mua lại,
Acquisition Date,Ngày mua,
Useful Life Years,Thời gian sử dụng (năm),
Depreciation Rate,Tỷ lệ khấu hao,
Depreciation Period,Kỳ khấu hao,
Depreciation Start,Bắt đầu khấu hao,
Depreciation End,Kết thúc khấu hao,
Number of Depreciations Booked,Số kỳ KH đã ghi,
Total Depreciations,Tổng kỳ KH,
Expected Value After Useful Life,Giá trị còn lại,
Cumulative Depreciation,Khấu hao lũy kế,
Depreciation Schedule Details,Chi tiết lịch khấu hao,
Asset Transfer,Chuyển giao tài sản,
From Employee,Từ nhân viên,
To Employee,Đến nhân viên,
Transfer Date,Ngày chuyển giao,
Transfer Reason,Lý do chuyển giao,
Asset Return,Trả tài sản,
Asset Issue,Cấp phát tài sản,
Asset Receipt Asset,Nhận tài sản,
Disposal Date,Ngày thanh lý,
Disposal Reason,Lý do thanh lý,
Sale Amount,Số tiền bán,
Gain on Sale,Lãi bán tài sản,
Loss on Sale,Lỗ bán tài sản,
Repair Cost,Chi phí sửa,
Repair Status,Trạng thái sửa,
Under Repair,Đang sửa,
Repaired,Đã sửa,
Asset Maintenance Log,Nhật ký bảo trì tài sản,
Maintenance Task,Công việc bảo trì,
Maintenance Task Name,Tên CV bảo trì,
Task Periodicity,Chu kỳ công việc,
Assign Tasks,Phân công công việc,
Maintenance Manager,Quản lý bảo trì,
Maintenance Visit,Lần bảo trì,
Maintenance Visit Date,Ngày bảo trì,
Maintenance Schedule Detail,Chi tiết lịch bảo trì,
Warranty Date,Ngày bảo hành,
Warranty End Date,Ngày kết thúc bảo hành,
AMC,Hợp đồng BT năm,
Annual Maintenance Contract,Hợp đồng BT năm,
AMC Expiry,Hết hạn HĐBT,
AMC Start,Bắt đầu HĐBT,
Maintenance Required,Cần bảo trì,
# ---- Website / Portal ----
Home Page,Trang chủ,
Contact Page,Trang liên hệ,
About Page,Trang giới thiệu,
Shop,Cửa hàng,
Product Page,Trang sản phẩm,
Category Page,Trang danh mục,
Cart Page,Trang giỏ hàng,
Checkout Page,Trang thanh toán,
Order Page,Trang đơn hàng,
Account Page,Trang tài khoản,
Login Page,Trang đăng nhập,
Signup Page,Trang đăng ký,
Search Page,Trang tìm kiếm,
Privacy Policy,Chính sách bảo mật,
Terms and Conditions,Điều khoản và điều kiện,
Return Policy,Chính sách đổi trả,
Shipping Policy,Chính sách vận chuyển,
Refund Policy,Chính sách hoàn tiền,
Cookie Policy,Chính sách cookie,
Website Settings,Cài đặt website,
Website Theme,Giao diện website,
Color Scheme,Bảng màu,
Font,Phông chữ,
Logo,Logo,
Favicon,Favicon,
Site Title,Tiêu đề trang,
Site Description,Mô tả trang,
Meta Title,Meta tiêu đề,
Meta Description,Meta mô tả,
Meta Keywords,Meta từ khóa,
SEO,Tối ưu SEO,
Social Links,Liên kết mạng xã hội,
Facebook,Facebook,
Twitter,Twitter,
Instagram,Instagram,
LinkedIn,LinkedIn,
YouTube,YouTube,
TikTok,TikTok,
Zalo,Zalo,
Share on Facebook,Chia sẻ Facebook,
Share on Twitter,Chia sẻ Twitter,
Share Link,Chia sẻ liên kết,
Embed,Nhúng,
Embed Code,Mã nhúng,
# ---- Web page ----
Web Form,Biểu mẫu web,
Web Form Field,Trường biểu mẫu web,
Form Submission,Gửi biểu mẫu,
Submit Form,Gửi biểu mẫu,
Web Slideshow,Trình chiếu web,
Slide,Slide,
Hero Section,Phần Hero,
CTA,Kêu gọi hành động,
Call to Action,Kêu gọi hành động,
Testimonial,Lời chứng thực,
Reviews,Đánh giá,
Review,Đánh giá,
Star Rating,Đánh giá sao,
Ratings,Đánh giá,
Stars,Sao,
1 Star,1 sao,
2 Stars,2 sao,
3 Stars,3 sao,
4 Stars,4 sao,
5 Stars,5 sao,
Write a Review,Viết đánh giá,
Customer Reviews,Đánh giá khách hàng,
Verified Purchase,Đã mua xác thực,
